X,Y,gid,Name,description,X_ADDR,SHAPE_Length,FMEL_UPD_D,Region Name,Region Code,Planning Area Name,Central Area Indicator,SHAPE,Y_ADDR,INC_CRC,SHAPE_Area,Field_1,Planning Area Code
103.821630331767,1.2744574576655,3,BUKIT MERAH,,26865.7838,29156.293788,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,BUKIT MERAH,N,Polygon,28662.8732,738B479882E4EE28,14462471.888142,BUKIT MERAH,BM
103.74849228962,1.38748624247791,9,CHOA CHU KANG,,18415.0527,11518.805258,12/5/2014 9:22:21 PM,WEST REGION,WR,CHOA CHU KANG,N,Polygon,40833.4225,F361929FAF5E9611,6117294.112906,CHOA CHU KANG,CK
103.793189673744,1.32835378510072,5,BUKIT TIMAH,,23256.7643,22492.840844,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,BUKIT TIMAH,N,Polygon,34689.0037,C893AEAD20F42559,17526653.856669,BUKIT TIMAH,BT
103.801663729855,1.37607631533184,6,CENTRAL WATER CATCHMENT,,24424.4183,30538.246177,12/5/2014 9:22:21 PM,NORTH REGION,NR,CENTRAL WATER CATCHMENT,N,Polygon,39849.0456,52D0068508B0348A,37147854.456277,CENTRAL WATER CATCHMENT,CC
103.997325267775,1.35203816569402,7,CHANGI,,46307.4764,31342.123623,12/5/2014 9:22:21 PM,EAST REGION,ER,CHANGI,N,Polygon,36991.4264,70EAFFC7C76EA5AD,40940490.092915,CHANGI,CH
103.725190769846,1.36218052574458,22,TENGAH,,16363.1893,12808.876532,12/5/2014 9:22:21 PM,WEST REGION,WR,TENGAH,N,Polygon,38432.5474,7E6091D103E50A01,7370557.681726,TENGAH,TH
103.953594046357,1.376941938184,13,PASIR RIS,,40795.8397,22425.806005,12/5/2014 9:22:21 PM,EAST REGION,ER,PASIR RIS,N,Polygon,40066.4108,69E0AC0FE45B2A77,15809578.743929,PASIR RIS,PR
103.818680974654,1.45300339543856,16,SEMBAWANG,,26387.3981,21493.532366,12/5/2014 9:22:21 PM,NORTH REGION,NR,SEMBAWANG,N,Polygon,48594.6356,E09108C7592EF5E8,12636355.80073,SEMBAWANG,SB
103.930868674415,1.32500119684214,17,BEDOK,,38582.665,21872.798962,12/5/2014 9:22:21 PM,EAST REGION,ER,BEDOK,N,Polygon,34032.0961,1719251260799DF6,21733187.780729,BEDOK,BD
103.707791844831,1.31536029351765,18,BOON LAY,,13410.3824,18528.467448,12/5/2014 9:22:21 PM,WEST REGION,WR,BOON LAY,N,Polygon,33008.9884,A3DC87118B43CDED,8279408.150649,BOON LAY,BL
